"9112	2010-04-24","00:58:56	1	1	1	0"
"2052	2010-04-24","00:59:24	1	0	1	0"
"6083	2010-04-24","00:59:31	1	0	1	0"
"6081	2010-04-24","01:00:13	1	0	1	0"
"6081	2010-04-24","01:00:24	1	1	1	0"
"6082	2010-04-24","01:00:35	1	1	1	0"
"27	2010-04-24","01:00:49	1	1	1	0"
"6081	2010-04-24","01:00:53	1	1	1	0"
"8098	2010-04-24","01:00:58	1	1	1	0"
"8094	2010-04-24","01:01:03	1	1	1	0"
"9111	2010-04-24","01:01:08	1	1	1	0"
"6083	2010-04-24","01:01:15	1	0	1	0"
"6083	2010-04-24","01:01:20	1	1	1	0"
"8101	2010-04-24","01:01:27	1	1	1	0"
"6071	2010-04-24","01:01:47	1	0	1	0"
"8102	2010-04-24","03:08:25	1	0	1	0"
"8102	2010-04-24","03:08:41	1	1	1	0"
"6071	2010-04-25","20:09:16	1	0	1	0"
"9016	2010-04-25","20:09:29	1	0	1	0"
"9104	2010-04-25","20:16:28	1	0	1	0"
"9112	2010-04-25","20:22:19	1	0	1	0"
"9110	2010-04-25","20:27:08	1	0	1	0"
"9111	2010-04-25","20:27:22	1	0	1	0"
"2052	2010-04-25","20:34:10	1	0	1	0"
"27	2010-04-25","20:35:10	1	0	1	0"
"8098	2010-04-25","20:35:17	1	0	1	0"
"6081	2010-04-25","20:35:24	1	0	1	0"
"9112	2010-04-25","08:43:41	1	0	1	0"
"9016	2010-04-26","08:44:36	1	0	1	0"
"6083	2010-04-26","08:44:42	1	0	1	0"
"6081	2010-04-26","08:44:49	1	0	1	0"
"27	2010-04-26","08:44:55	1	0	1	0"
"9111	2010-04-26","08:45:02	1	0	1	0"
"6071	2010-04-26","08:45:15	1	0	1	0"
"9104	2010-04-26","08:45:29	1	0	1	0"
"9106	2010-04-26","08:45:34	1	0	1	0"
"8098	2010-04-26","08:45:42	1	0	1	0"
"5067	2010-04-26","08:45:55	1	0	1	0"
"9110	2010-04-26","08:46:01	1	0	1	0"
"8094	2010-04-26","08:48:03	1	0	1	0"
"6082	2010-04-26","08:48:10	1	0	1	0"
